"stateroom_count","last_updated","stateroom_breakdown","length_meters","year_refurbished","cruise_line_id","passenger_capacity","gross_tonnage","crew_count","stateroom_types","name","current_status","year_built","deck_count","facilities","id","created_date","updated_date","created_by_id","created_by","is_sample"
"1965","","","","","68d75b5d5aa91b252fd5d3b2","3934","","1450","{""owners_suites"":null,""oceanview"":293,""inside"":678,""suites"":72,""balcony"":880}","Carnival Vista","active","2016","","{""kids_club"":true,""spa"":true,""specialty_features"":[""Main Pool"",""Fitness Center""],""exclusive_areas"":[""Suite Deck"",""Premium Lounge""],""pools"":3,""casino"":true,""specialty_dining"":4,""bars"":3,""hot_tubs"":3,""theater"":true,""restaurants"":16,""gym"":true,""shopping"":true}","6a549c881240a3a7bce8dc8b","2026-07-13T08:06:32.284000","2026-07-13T08:06:32.284000","68d75a7963d51090ab8d4351","swmummery@gmail.com","false"
"2626","","","","","68d75b5d5aa91b252fd5d3b2","5347","","1735","{""owners_suites"":null,""oceanview"":222,""inside"":777,""suites"":175,""balcony"":1467}","Carnival Jubilee","active","2023","","{""kids_club"":true,""spa"":true,""specialty_features"":[""Main Pool"",""Fitness Center""],""exclusive_areas"":[""Suite Deck"",""Premium Lounge""],""pools"":1,""casino"":true,""specialty_dining"":9,""bars"":9,""hot_tubs"":7,""theater"":true,""restaurants"":19,""gym"":true,""shopping"":true}","6a549c8830b2ffe6408a3a32","2026-07-13T08:06:32.272000","2026-07-13T08:06:32.272000","68d75a7963d51090ab8d4351","swmummery@gmail.com","false"
"160","","","","","68d765d042d49f20dd89e2b4","332","","217","{""owners_suites"":null,""oceanview"":null,""inside"":null,""suites"":9,""balcony"":80}","Paul Gauguin","active","1997","","{""kids_club"":true,""spa"":true,""specialty_features"":[""Main Pool"",""Fitness Center""],""exclusive_areas"":[""Suite Deck"",""Premium Lounge""],""pools"":3,""casino"":false,""specialty_dining"":9,""bars"":7,""hot_tubs"":3,""theater"":false,""restaurants"":12,""gym"":true,""shopping"":false}","6a549c4a9c8f978d95eb9f59","2026-07-13T08:05:30.856000","2026-07-13T08:05:30.856000","68d75a7963d51090ab8d4351","swmummery@gmail.com","false"
"51","","","","","68d8ed77e09b7a9fb3e667d4","102","","38","{""owners_suites"":null,""oceanview"":null,""inside"":null,""suites"":null,""balcony"":null}","AmaSintra","active","2025","","{""kids_club"":true,""spa"":true,""specialty_features"":[""Main Pool"",""Fitness Center""],""exclusive_areas"":[""Suite Deck"",""Premium Lounge""],""pools"":3,""casino"":false,""specialty_dining"":6,""bars"":6,""hot_tubs"":3,""theater"":false,""restaurants"":11,""gym"":true,""shopping"":false}","6a549b57742b7ce1be11e2bf","2026-07-13T08:01:27.099000","2026-07-13T08:01:27.099000","68d75a7963d51090ab8d4351","swmummery@gmail.com","false"
"78","","","","","68d8ed77e09b7a9fb3e667d4","156","","51","{""owners_suites"":null,""oceanview"":null,""inside"":null,""suites"":null,""balcony"":null}","AmaKristina","active","2017","","{""kids_club"":true,""spa"":true,""specialty_features"":[""Main Pool"",""Fitness Center""],""exclusive_areas"":[""Suite Deck"",""Premium Lounge""],""pools"":1,""casino"":false,""specialty_dining"":5,""bars"":10,""hot_tubs"":7,""theater"":false,""restaurants"":18,""gym"":true,""shopping"":false}","6a549b5749504fd80779be8f","2026-07-13T08:01:27.076000","2026-07-13T08:01:27.076000","68d75a7963d51090ab8d4351","swmummery@gmail.com","false"
"98","","","","","68d8ed77e09b7a9fb3e667d4","196","","70","{""owners_suites"":null,""oceanview"":null,""inside"":null,""suites"":null,""balcony"":null}","AmaMagna","active","2019","","{""kids_club"":true,""spa"":true,""specialty_features"":[""Main Pool"",""Fitness Center""],""exclusive_areas"":[""Suite Deck"",""Premium Lounge""],""pools"":4,""casino"":false,""specialty_dining"":3,""bars"":8,""hot_tubs"":3,""theater"":false,""restaurants"":9,""gym"":true,""shopping"":false}","6a549b5799c892d934f3bc0c","2026-07-13T08:01:27.072000","2026-07-13T08:01:27.072000","68d75a7963d51090ab8d4351","swmummery@gmail.com","false"
"48","","","","","68d8ed77e09b7a9fb3e667d4","124","","52","{""owners_suites"":null,""oceanview"":null,""inside"":null,""suites"":null,""balcony"":null}","AmaDara","active","2015","","{""kids_club"":true,""spa"":true,""specialty_features"":[""Main Pool"",""Fitness Center""],""exclusive_areas"":[""Suite Deck"",""Premium Lounge""],""pools"":3,""casino"":false,""specialty_dining"":6,""bars"":11,""hot_tubs"":5,""theater"":false,""restaurants"":14,""gym"":true,""shopping"":false}","6a549b57f8a706eccacfb42d","2026-07-13T08:01:27.072000","2026-07-13T08:01:27.072000","68d75a7963d51090ab8d4351","swmummery@gmail.com","false"
"78","","","","","68d8ed77e09b7a9fb3e667d4","156","","50","{""owners_suites"":null,""oceanview"":null,""inside"":null,""suites"":null,""balcony"":null}","AmaViola","active","2016","","{""kids_club"":true,""spa"":true,""specialty_features"":[""Main Pool"",""Fitness Center""],""exclusive_areas"":[""Suite Deck"",""Premium Lounge""],""pools"":3,""casino"":false,""specialty_dining"":3,""bars"":12,""hot_tubs"":9,""theater"":false,""restaurants"":16,""gym"":true,""shopping"":false}","6a549b574c69276541654675","2026-07-13T08:01:27.059000","2026-07-13T08:01:27.059000","68d75a7963d51090ab8d4351","swmummery@gmail.com","false"
"83","","","","","68d8edc8576386f425c474fe","166","","47","{""owners_suites"":2,""oceanview"":16,""inside"":null,""suites"":65,""balcony"":65}","Avalon Visionary","active","2012","","{""kids_club"":true,""spa"":true,""specialty_features"":[""Main Pool"",""Fitness Center""],""exclusive_areas"":[""Suite Deck"",""Premium Lounge""],""pools"":3,""casino"":false,""specialty_dining"":5,""bars"":12,""hot_tubs"":6,""theater"":false,""restaurants"":12,""gym"":true,""shopping"":false}","6a549b4095101dadbfcdbdcd","2026-07-13T08:01:04.129000","2026-07-13T08:01:04.129000","68d75a7963d51090ab8d4351","swmummery@gmail.com","false"
"83","","","","","68d8edc8576386f425c474fe","166","","47","{""owners_suites"":2,""oceanview"":16,""inside"":null,""suites"":65,""balcony"":65}","Avalon View","active","2020","","{""kids_club"":true,""spa"":true,""specialty_features"":[""Main Pool"",""Fitness Center""],""exclusive_areas"":[""Suite Deck"",""Premium Lounge""],""pools"":1,""casino"":false,""specialty_dining"":8,""bars"":10,""hot_tubs"":6,""theater"":false,""restaurants"":5,""gym"":true,""shopping"":false}","6a549b4065a26fcdc8e0a60b","2026-07-13T08:01:04.099000","2026-07-13T08:01:04.099000","68d75a7963d51090ab8d4351","swmummery@gmail.com","false"
